# VSS hardware run — 2026-04-20T12:59:15
# mu=0.001  mu_omega=0.0  control_fs=800.0  log_hz=100.0
# cancel_dur=240.0s  actual_dur=240.01s  n_samples=24001
# F_init_hz=[8.499999966281907]  max_amp_per_tone=9.0mm  max_total_amp=60.0mm
# dir_invert=True  simulate=False
# NOTE: C_mm, S_mm, f_hz, A_mm are tone 1 only
t_s,e_m_s2,C_mm,S_mm,f_hz,A_mm
1.089189,0.205783,0.029817,-0.058030,8.500000,0.065242
1.099189,0.363709,0.030862,-0.060375,8.500000,0.067805
1.109189,0.007178,0.031381,-0.060940,8.500000,0.068546
1.119189,-0.248854,0.029913,-0.060884,8.500000,0.067835
1.129189,-0.344566,0.027619,-0.061967,8.500000,0.067843
1.139189,-0.294317,0.026211,-0.063942,8.500000,0.069106
1.149189,-0.011964,0.026050,-0.064580,8.500000,0.069636
1.159189,0.021535,0.026003,-0.064523,8.500000,0.069566
1.169189,-0.299103,0.027277,-0.065166,8.500000,0.070644
1.179188,-0.354138,0.029913,-0.065257,8.500000,0.071787
1.189189,-0.263210,0.032009,-0.064194,8.500000,0.071732
1.199189,-0.059821,0.032655,-0.063330,8.500000,0.071253
1.209189,0.378066,0.032849,-0.065028,8.500000,0.072854
1.219189,0.246461,0.033955,-0.067089,8.500000,0.075192
1.229189,-0.150748,0.033841,-0.067252,8.500000,0.075286
1.239189,-0.296710,0.032073,-0.067361,8.500000,0.074607
1.249189,-0.337388,0.029950,-0.068693,8.500000,0.074938
1.259189,-0.189033,0.028910,-0.070497,8.500000,0.076195
1.269189,0.086142,0.028784,-0.070911,8.500000,0.076530
1.279189,-0.098106,0.028892,-0.070896,8.500000,0.076557
1.289189,-0.378066,0.030649,-0.071588,8.500000,0.077873
1.299189,-0.306281,0.033349,-0.071408,8.500000,0.078812
1.309189,-0.203390,0.035027,-0.070291,8.500000,0.078534
1.319189,0.114855,0.035445,-0.069746,8.500000,0.078236
1.329189,0.373280,0.035759,-0.071393,8.500000,0.079848
1.339189,0.069392,0.036875,-0.073124,8.500000,0.081895
1.349189,-0.232104,0.036502,-0.073132,8.500000,0.081736
1.359189,-0.315853,0.034446,-0.073471,8.500000,0.081145
1.369189,-0.325424,0.032481,-0.075058,8.500000,0.081785
1.379189,-0.043071,0.031738,-0.076636,8.500000,0.082949
1.389189,0.066999,0.031687,-0.076661,8.500000,0.082952
1.399189,-0.253639,0.031848,-0.076653,8.500000,0.083006
1.409190,-0.380459,0.033998,-0.077331,8.500000,0.084474
1.419189,-0.241675,0.036688,-0.076825,8.500000,0.085135
1.429189,-0.124427,0.037960,-0.075725,8.500000,0.084707
1.439189,0.296710,0.038167,-0.075622,8.500000,0.084708
1.449189,0.311067,0.038731,-0.077928,8.500000,0.087023
1.459189,-0.098106,0.039771,-0.079230,8.500000,0.088652
1.469189,-0.260818,0.038859,-0.079022,8.500000,0.088060
1.479189,-0.342174,0.036800,-0.079609,8.500000,0.087703
1.489189,-0.248854,0.034969,-0.081475,8.500000,0.088663
1.499189,0.083749,0.034513,-0.083057,8.500000,0.089942
1.509192,-0.026321,0.034373,-0.082519,8.500000,0.089392
1.519190,-0.358923,0.034819,-0.082819,8.500000,0.089841
1.529191,-0.330210,0.037570,-0.083390,8.500000,0.091463
1.539192,-0.229711,0.039954,-0.082593,8.500000,0.091750
1.549190,-0.229711,0.041131,-0.081210,8.500000,0.091032
1.559189,0.043071,0.041073,-0.081546,8.500000,0.091305
1.569189,0.394816,0.042182,-0.084464,8.500000,0.094411
1.579189,0.167498,0.043217,-0.085290,8.500000,0.095614
1.589188,-0.210568,0.041568,-0.085058,8.500000,0.094672
1.599189,-0.299103,0.039385,-0.085968,8.500000,0.094560
1.609189,-0.337388,0.037788,-0.088104,8.500000,0.095866
1.619191,-0.100499,0.037702,-0.088894,8.500000,0.096559
1.629189,0.078963,0.037444,-0.088325,8.500000,0.095935
1.639189,-0.205783,0.038588,-0.089046,8.500000,0.097047
1.649189,-0.387637,0.041471,-0.089225,8.500000,0.098391
1.659189,-0.258425,0.043430,-0.088293,8.500000,0.098396
1.669189,-0.162712,0.044204,-0.087151,8.500000,0.097720
1.679189,0.232104,0.044229,-0.088605,8.500000,0.099030
1.689189,0.323031,0.045406,-0.090772,8.500000,0.101495
1.699189,-0.038285,0.045404,-0.090868,8.500000,0.101580
1.709189,-0.265603,0.043525,-0.090895,8.500000,0.100779
1.719188,-0.287139,0.041596,-0.092010,8.500000,0.100976
1.729189,-0.284746,0.040481,-0.093972,8.500000,0.102320
1.739189,0.016750,0.040369,-0.094432,8.500000,0.102699
1.749191,0.011964,0.040316,-0.094342,8.500000,0.102596
1.759188,-0.289532,0.041875,-0.095028,8.500000,0.103845
1.769189,-0.339781,0.044459,-0.094881,8.500000,0.104781
1.779188,-0.212961,0.046099,-0.093859,8.500000,0.104569
1.789189,-0.016750,0.046396,-0.093429,8.500000,0.104315
1.799189,0.361316,0.046724,-0.095148,8.500000,0.106001
1.809189,0.246461,0.047996,-0.097051,8.500000,0.108270
1.819189,-0.210568,0.047616,-0.097129,8.500000,0.108173
1.829189,-0.299103,0.045530,-0.097408,8.500000,0.107523
1.839188,-0.337388,0.043502,-0.098961,8.500000,0.108100
1.849189,-0.138784,0.042769,-0.100480,8.500000,0.109204
1.859188,0.090927,0.042650,-0.100457,8.500000,0.109136
1.869188,-0.141177,0.043010,-0.100720,8.500000,0.109519
1.879189,-0.397209,0.045051,-0.101341,8.500000,0.110903
1.889189,-0.272782,0.047670,-0.100945,8.500000,0.111635
1.899189,-0.181855,0.049066,-0.099812,8.500000,0.111220
1.909189,0.179462,0.049251,-0.099865,8.500000,0.111349
1.919189,0.423530,0.049866,-0.102172,8.500000,0.113691
1.929189,0.016750,0.050880,-0.103603,8.500000,0.115422
1.939189,-0.260818,0.049914,-0.103462,8.500000,0.114873
1.949189,-0.315853,0.047759,-0.104012,8.500000,0.114452
1.959189,-0.296710,0.046002,-0.105707,8.500000,0.115283
1.969189,-0.040678,0.045463,-0.107208,8.500000,0.116449
1.979189,0.021535,0.045470,-0.107349,8.500000,0.116582
1.989189,-0.299103,0.046140,-0.107774,8.500000,0.117235
1.999189,-0.332602,0.048540,-0.108328,8.500000,0.118706
2.009190,-0.236889,0.050796,-0.107679,8.497102,0.119059
2.019190,-0.083749,0.051807,-0.106678,8.497102,0.118592
2.029189,0.337388,0.051938,-0.106871,8.497102,0.118823
2.039188,0.239282,0.052707,-0.109225,8.497102,0.121276
2.049189,-0.136391,0.053490,-0.110088,8.497102,0.122395
2.059189,-0.275175,0.052150,-0.109911,8.497102,0.121656
2.069189,-0.308674,0.050059,-0.110718,8.497102,0.121509
2.079189,-0.191426,0.048641,-0.112415,8.497102,0.122487
2.089189,0.062213,0.048398,-0.113408,8.497102,0.123303
